ind1990,sh_top11970,top11970,earn_res1970,agg_inc1970,num_top11970,us_num_top11970,us_agg_inc1970,sh_agg1970,sh_top11980,top11980,earn_res1980,agg_inc1980,num_top11980,us_num_top11980,us_agg_inc1980,sh_agg1980,sh_top11990,top11990,earn_res1990,agg_inc1990,num_top11990,us_num_top11990,us_agg_inc1990,sh_agg1990,sh_top12000,top12000,earn_res2000,agg_inc2000,num_top12000,us_num_top12000,us_agg_inc2000,sh_agg2000,sh_top12015,top12015,earn_res2015,agg_inc2015,num_top12015,us_num_top12015,us_agg_inc2015,sh_agg2015,change,us_change,sh_agg_incx,sh_change,sh_agg_change
"Miscellaneous fabricated textile products",.0012319,.0080357,.0121031,4638215,900.0001,730600,6.64e+09,.0006986,.0009908,.0071064,-.0256498,8994275,920,928580,1.50e+10,.0005991,.0006285,.0057437,-.0283578,1.20e+07,699,1112210,3.56e+10,.0003364,.0007061,.0049964,-.0214779,2.43e+07,909,1287406,6.42e+10,.0003781,.0003738,.0057492,-.0190108,1.83e+07,452,1209075,9.13e+10,.000201,-468,280495,.0001226,-.0016685,-.0003981
"Miscellaneous petroleum and coal products",.0006844,.0259067,.1374959,4511917,500,730600,6.64e+09,.0006796,.0003662,.0110677,.2127622,5976383,340,928580,1.50e+10,.0003981,.0001807,.0083743,.2442322,6310586,201,1112210,3.56e+10,.0001771,.000334,.0131975,.2129835,1.88e+07,430,1287406,6.42e+10,.0002927,.0003639,.0157525,.2025793,3.07e+07,440,1209075,9.13e+10,.0003359,100,280495,.0003237,.0003565,-.0000621
"Tobacco manufactures",.0004106,.0044379,.1025884,1855074,300,730600,6.64e+09,.0002794,.0006031,.0081895,.2074553,8588781,560,928580,1.50e+10,.0005721,.0003507,.0078643,.4324535,1.44e+07,390,1112210,3.56e+10,.0004044,.0004715,.0168042,.3684122,3.42e+07,607,1287406,6.42e+10,.0005336,.0003598,.0214243,.2691653,3.57e+07,435,1209075,9.13e+10,.0003916,-125,280495,.0003561,-.0004456,-.0001805
"Iron and steel foundries",.0026006,.0059043,.1630604,1.53e+07,1900,730600,6.64e+09,.0023101,.0006461,.0029668,.1651117,9435277,600,928580,1.50e+10,.0006284,.0005907,.0064541,.1914564,1.75e+07,657,1112210,3.56e+10,.0004926,.0007037,.0051094,.1466455,3.26e+07,906,1287406,6.42e+10,.0005076,.0003408,.0042915,.135172,2.15e+07,412,1209075,9.13e+10,.0002358,-188,280495,.0001585,-.0006702,-.0003926
"Liquor stores",.0013687,.0111235,-.1054603,7365907,1000,730600,6.64e+09,.0011094,.0011846,.0084304,-.2532403,1.24e+07,1100,928580,1.50e+10,.000827,.0007049,.0058623,-.2286526,1.50e+07,784,1112210,3.56e+10,.000422,.0004963,.0067642,-.229106,1.87e+07,639,1287406,6.42e+10,.000291,.0003226,.0026007,-.2497653,1.38e+07,390,1209075,9.13e+10,.0001513,-710,280495,.0000183,-.0025312,-.0006757
"Metal mining",.0004106,.0035377,.0925819,2453544,300,730600,6.64e+09,.0003695,.0009261,.0070805,.2934179,1.63e+07,860,928580,1.50e+10,.0010877,.0003893,.0066483,.2775707,1.42e+07,433,1112210,3.56e+10,.0003986,.0001142,.0071697,.274514,6972174,147,1287406,6.42e+10,.0001086,.0003201,.0081175,.524727,3.20e+07,387,1209075,9.13e+10,.0003507,-473,280495,.0002055,-.0016863,-.0007371
"Libraries",.0002737,.0020284,-.2330294,893975.6,200,730600,6.64e+09,.0001346,.0001723,.0010852,-.3142648,1400679,160,928580,1.50e+10,.0000933,.0000917,.0005361,-.4340758,1538592,102,1112210,3.56e+10,.0000432,.0001134,.000643,-.4174892,3497469,146,1287406,6.42e+10,.0000545,.0003193,.0019206,-.4070185,1.35e+07,386,1209075,9.13e+10,.0001481,226,280495,.0001589,.0008057,.0000548
"Machinery, n.s.",.0005475,.0113314,.2585569,3999207,400,730600,6.64e+09,.0006023,.0003877,.0098253,.1440521,5925493,360,928580,1.50e+10,.0003947,.0003938,.008829,.1710437,1.27e+07,438,1112210,3.56e+10,.0003577,.0018331,.0135455,.2218916,1.13e+08,2360,1287406,6.42e+10,.0017562,.0003085,.0048898,.1841622,2.24e+07,373,1209075,9.13e+10,.0002456,13,280495,.0002163,.0000463,-.0001491
"Labor unions",,,,,,,,,,,,,,,,,.0003983,.0050788,.3372458,1.49e+07,443,1112210,3.56e+10,.0004187,.0004785,.0077022,.3718295,3.13e+07,616,1287406,6.42e+10,.0004878,.0003011,.0053204,.3827068,2.60e+07,364,1209075,9.13e+10,.0002851,,,,,
"Coal mining",.0004106,.0021786,.1442119,2362506,300,730600,6.64e+09,.0003558,.0021538,.0074543,.3967251,4.04e+07,2000,928580,1.50e+10,.0026879,.0006267,.0044647,.3342022,2.38e+07,697,1112210,3.56e+10,.0006669,.0001919,.0032949,.3146424,1.17e+07,247,1287406,6.42e+10,.0001829,.0002911,.0041247,.5903624,2.62e+07,352,1209075,9.13e+10,.0002867,-1648,280495,-.0001861,-.0058753,-.0024012
"Retail bakeries",.0008212,.0047431,-.1816184,3003795,600,730600,6.64e+09,.0004524,.0005385,.003888,-.2449022,4476886,500,928580,1.50e+10,.0002982,.0003039,.0017194,-.1874374,5234506,338,1112210,3.56e+10,.0001469,.0004544,.0043542,-.132992,1.50e+07,585,1287406,6.42e+10,.0002345,.0002878,.0021013,-.1980539,9822092,348,1209075,9.13e+10,.0001076,-152,280495,.0000701,-.0005419,-.0001906
"Water supply and irrigation",.0004106,.0026132,.0114428,2185819,300,730600,6.64e+09,.0003292,.0004092,.0024054,-.0231637,5270468,380,928580,1.50e+10,.000351,.0001834,.0011273,.0704296,5138043,204,1112210,3.56e+10,.0001442,.0006113,.0038161,.0827477,2.96e+07,787,1287406,6.42e+10,.0004617,.0002812,.0015503,.1731997,1.88e+07,340,1209075,9.13e+10,.0002063,-40,280495,.0001778,-.0001426,-.0001448
"Army",,,,,,,,,,,,,,,,,.0002302,.0005028,-.0660916,4598288,256,1112210,3.56e+10,.0001291,.0002517,.000979,.0546803,9037501,324,1287406,6.42e+10,.0001408,.0002804,.0009491,.3382535,1.57e+07,339,1209075,9.13e+10,.000172,,,,,
"Engines and turbines",.0005475,.0045249,.2493137,3522625,400,730600,6.64e+09,.0005306,.0005169,.0035227,.3146697,9097735,480,928580,1.50e+10,.000606,.0003812,.0052165,.3131712,1.43e+07,424,1112210,3.56e+10,.0004013,.0007061,.0095062,.2583222,4.19e+07,909,1287406,6.42e+10,.0006526,.0002804,.004226,.2435961,2.29e+07,339,1209075,9.13e+10,.0002512,-141,280495,.0001814,-.0005027,-.0003547
"Beauty shops",.001095,.0016846,-.1029641,2960025,800,730600,6.64e+09,.0004458,.0012708,.0022176,-.2590505,8715484,1180,928580,1.50e+10,.0005805,.0006006,.0009725,-.2465937,8462012,668,1112210,3.56e+10,.0002375,.0004707,.0008106,-.2322518,1.17e+07,606,1287406,6.42e+10,.0001829,.0002796,.0003575,-.2267022,8412905,338,1209075,9.13e+10,.0000922,-842,280495,-3.97e-06,-.0030018,-.0004883
"Nonmetallic mining and quarrying, except fuels ",.0008212,.0059055,.1018095,4680561,600,730600,6.64e+09,.000705,.0010985,.0089099,.1714383,1.66e+07,1020,928580,1.50e+10,.0011077,.0008011,.0081355,.1908455,2.53e+07,891,1112210,3.56e+10,.0007091,.0004956,.0054507,.2345091,2.60e+07,638,1287406,6.42e+10,.0004046,.0002721,.003566,.2547387,1.82e+07,329,1209075,9.13e+10,.0001994,-691,280495,.0000206,-.0024635,-.0009082
"Retail florists",.0004106,.0035129,-.4020256,1334245,300,730600,6.64e+09,.000201,.0003877,.0028694,-.4121823,2687775,360,928580,1.50e+10,.000179,.0003174,.0020591,-.3842935,4738459,353,1112210,3.56e+10,.000133,.0002649,.0021673,-.3403956,7094594,341,1287406,6.42e+10,.0001105,.0002688,.0040082,-.4556087,9220385,325,1209075,9.13e+10,.000101,-34.99997,280495,.0000857,-.0001248,-.000078
"Private households",.0006844,.00054,-.9630092,835365.6,500,730600,6.64e+09,.0001258,.0003877,.0006524,-.8672829,1428097,360,928580,1.50e+10,.0000951,.0004271,.0008775,-.6300524,3787756,475,1112210,3.56e+10,.0001063,.0004995,.0012472,-.6068888,8441907,643,1287406,6.42e+10,.0001315,.0002647,.0004302,-.7052816,5524439,320,1209075,9.13e+10,.0000605,-40,280495,.0000537,-.0001426,-.0000346
"Metal forgings and stampings",.0019162,.0103093,.2556312,1.17e+07,1400,730600,6.64e+09,.0017553,.0012061,.0062823,.2199304,1.85e+07,1120,928580,1.50e+10,.0012299,.0008542,.0066288,.2282233,2.69e+07,950,1112210,3.56e+10,.0007564,.0009041,.0096847,.186402,4.55e+07,1164,1287406,6.42e+10,.0007086,.0002448,.0052018,.0992742,1.39e+07,296,1209075,9.13e+10,.0001527,-824,280495,-.0000593,-.0029377,-.0010771
"Bakery products",.0008212,.0039735,.1008454,4087391,600,730600,6.64e+09,.0006156,.0007108,.0036296,.094586,9014066,660,928580,1.50e+10,.0006004,.0005799,.0039152,.1424858,1.49e+07,645.0001,1112210,3.56e+10,.0004169,.0005896,.0050846,.054023,2.41e+07,759,1287406,6.42e+10,.0003759,.0002374,.0012883,-.0305045,1.06e+07,287,1209075,9.13e+10,.000116,-373,280495,.0000206,-.0013298,-.0004844
"Taxicab service",.0005475,.0037037,-.3751173,2039796,400,730600,6.64e+09,.0003072,.0004954,.0046278,-.51814,4330449,460,928580,1.50e+10,.0002884,.0001609,.0017602,-.524262,2863327,179,1112210,3.56e+10,.0000804,.0002509,.0018589,-.4269314,8030312,323,1287406,6.42e+10,.0001251,.0002349,.0009364,-.5333711,8539044,284,1209075,9.13e+10,.0000936,-176,280495,.0000552,-.0006275,-.0001949
"Farm-product raw materials",.001095,.0107239,-.0662161,6027775,800,730600,6.64e+09,.0009079,.0013569,.0138767,.0043104,1.84e+07,1260,928580,1.50e+10,.0012256,.0008488,.0155925,-.0218886,2.43e+07,944,1112210,3.56e+10,.0006824,.0002493,.0080124,-.0931813,1.12e+07,321,1287406,6.42e+10,.0001745,.0002349,.0049409,.0610911,1.47e+07,284,1209075,9.13e+10,.0001612,-976,280495,-.0000483,-.0034796,-.0010644
"Other rubber products, and plastics footwear and belting",.0012319,.0032562,.1944649,7020261,900,730600,6.64e+09,.0010574,.0009046,.0058848,.1983344,1.37e+07,840,928580,1.50e+10,.0009155,.0005799,.004829,.1494047,1.52e+07,645,1112210,3.56e+10,.0004253,.0004956,.0061466,.116909,2.16e+07,638,1287406,6.42e+10,.0003371,.000215,.0034791,.1336617,1.24e+07,260,1209075,9.13e+10,.0001358,-580,280495,-.0000177,-.0020678,-.0007797
"Structural clay products",.0002737,.0035714,.013189,1324911,200,730600,6.64e+09,.0001996,.00028,.0046181,.0554673,3473927,260,928580,1.50e+10,.0002314,.0002203,.005728,.082529,5811928,245,1112210,3.56e+10,.0001631,.0002991,.0093852,.1055276,1.39e+07,385,1287406,6.42e+10,.0002158,.0002142,.0104431,.0128534,1.33e+07,259,1209075,9.13e+10,.0001452,-1,280495,.0001282,-3.57e-06,-.0000862
"Museums, art galleries, and zoos",.0002737,.0078431,-.2146772,1244784,200,730600,6.64e+09,.0001875,.0003446,.0057929,-.2322862,3711334,320,928580,1.50e+10,.0002472,.0004594,.0054306,-.23995,1.07e+07,511,1112210,3.56e+10,.0002998,.0003045,.0025372,-.2313195,1.20e+07,392,1287406,6.42e+10,.000187,.0001968,.0006802,-.282748,8598860,238,1209075,9.13e+10,.0000942,-82,280495,.0000641,-.0002923,-.000153
"Railroad locomotives and equipment",.0002737,.0037313,.1452782,1663974,200,730600,6.64e+09,.0002506,.00028,.0038134,.2607773,4599201,260,928580,1.50e+10,.0003063,.0003066,.0132819,.2009333,1.06e+07,341,1112210,3.56e+10,.0002962,.0001429,.0049565,.1768013,7403223,184,1287406,6.42e+10,.0001153,.0001853,.0067102,.2560223,1.25e+07,224,1209075,9.13e+10,.0001375,-36,280495,.0001043,-.0001283,-.0001688
"Direct selling establishments",.001095,.0047253,-.7543538,2839882,800.0001,730600,6.64e+09,.0004277,.0009046,.0048237,-.80516,5687985,840,928580,1.50e+10,.0003788,.0005242,.0032582,-.5621714,7791964,583,1112210,3.56e+10,.0002187,.0005173,.0036777,-.4543982,1.47e+07,666,1287406,6.42e+10,.000229,.000182,.0015409,-.6227156,7108591,220,1209075,9.13e+10,.0000779,-620,280495,.0000186,-.0022104,-.000301
"Household appliances",.0009581,.0036176,.1538178,5133514,700,730600,6.64e+09,.0007732,.0009908,.0049995,.1480458,1.26e+07,920,928580,1.50e+10,.0008399,.000428,.0037238,.155365,1.14e+07,476,1112210,3.56e+10,.000319,.0005453,.0061913,.1549799,2.47e+07,702,1287406,6.42e+10,.0003846,.000177,.0029053,.1359002,1.11e+07,214,1209075,9.13e+10,.0001217,-706,280495,-.0000198,-.002517,-.0007182
"Paperboard containers and boxes",.0024637,.0096051,.1493793,1.29e+07,1800,730600,6.64e+09,.0019471,.0018308,.0090214,.160517,2.58e+07,1700,928580,1.50e+10,.0017164,.0011455,.0084422,.2202553,3.39e+07,1274,1112210,3.56e+10,.000951,.0011449,.0094331,.1777575,5.73e+07,1474,1287406,6.42e+10,.0008923,.0001505,.0019257,.1490842,8962366,182,1209075,9.13e+10,.0000982,-1518,280495,-.0002204,-.0054119,-.0016182
"Cutlery, handtools, and general hardware",.0013687,.0084746,.2010994,7485975,1000,730600,6.64e+09,.0011275,.0009261,.0057295,.1335312,1.18e+07,860,928580,1.50e+10,.0007868,.0008982,.0084369,.1620072,2.50e+07,999.0001,1112210,3.56e+10,.0007027,.0005981,.0111386,.1286881,2.89e+07,770,1287406,6.42e+10,.0004508,.0001464,.0042904,.1119382,8711907,177,1209075,9.13e+10,.0000954,-683,280495,-.0000407,-.002435,-.0006913
"Job training and vocational rehabilitation services",,,,,,,,,.0000862,.0009913,-.3920443,662961.9,80,928580,1.50e+10,.0000442,.0001708,.0015975,-.2290989,3081146,190,1112210,3.56e+10,.0000865,.0002478,.0013363,-.2045961,7862436,319,1287406,6.42e+10,.0001225,.0001257,.0007843,-.3063355,4280718,152,1209075,9.13e+10,.0000469,72,280495,.0000474,.0002567,2.74e-06
"Music stores",,,,,,,,,,,,,,,,,.0005467,.0061018,-.2716697,9807298,608,1112210,3.56e+10,.0002753,.000515,.0053839,-.2330483,1.64e+07,663,1287406,6.42e+10,.0002559,.0001174,.0035897,-.3657631,4972570,142,1209075,9.13e+10,.0000545,,,,,
"Sewing, needlework, and piece goods stores",,,,,,,,,.0002369,.0037957,-.5216193,1505646,220,928580,1.50e+10,.0001003,.0001843,.0037624,-.6071922,2440859,205,1112210,3.56e+10,.0000685,.0001468,.0039169,-.4730387,4171444,189,1287406,6.42e+10,.000065,.000115,.0030486,-.4933326,4129911,139,1209075,9.13e+10,.0000452,-81,280495,.0000344,-.0002888,-.000055
"Agricultural chemicals",.0005475,.0095238,.0112084,3188286,400,730600,6.64e+09,.0004802,.00056,.0077037,.1582851,9038782,520,928580,1.50e+10,.000602,.0004154,.0108514,.2099994,1.48e+07,462,1112210,3.56e+10,.0004166,.000334,.0134241,.1934932,2.03e+07,430,1287406,6.42e+10,.0003166,.0001141,.0039468,.2693762,9248107,138,1209075,9.13e+10,.0001013,-382,280495,2.74e-06,-.0013619,-.0005007
"Tires and inner tubes",,,,,,,,,.0002585,.0049241,.2127727,4067307,240,928580,1.50e+10,.0002709,.000223,.0026275,.3085365,8051139,248,1112210,3.56e+10,.000226,.0002493,.0032255,.2454274,1.38e+07,321,1287406,6.42e+10,.0002149,.0001125,.0018427,.2449437,7852582,136,1209075,9.13e+10,.000086,-104,280495,.0000496,-.0003708,-.0001849
"Cycles and miscellaneous transportation equipment",.0002737,.0093897,.0840756,1311502,200,730600,6.64e+09,.0001975,.0003231,.0052319,.1483945,4323489,300,928580,1.50e+10,.000288,.0001915,.0036323,.1202195,4968506,213,1112210,3.56e+10,.0001395,.0001981,.0075931,.1832724,1.00e+07,255,1287406,6.42e+10,.0001565,.0001075,.0030088,.1103299,7024085,130,1209075,9.13e+10,.000077,-170,280495,.0000354,-.0006061,-.000211
"Vending machine operators",.0004106,.0063425,-.0010762,2036607,300,730600,6.64e+09,.0003067,.0005815,.0072816,-.1129363,6286257,540,928580,1.50e+10,.0004187,.0003219,.0050392,-.0962856,7243330,358,1112210,3.56e+10,.0002033,.000108,.0025215,-.1292893,4082760,139,1287406,6.42e+10,.0000636,.0001067,.0032681,-.1699329,5247164,129,1209075,9.13e+10,.0000575,-411,280495,-.0000136,-.0014653,-.0003612
"Carpets and rugs",.0001369,.0018832,.0571738,564802.3,100,730600,6.64e+09,.0000851,.0004738,.0065263,.118519,5342013,440,928580,1.50e+10,.0003558,.0003399,.0055017,.1227104,7653715,378,1112210,3.56e+10,.0002148,.0004226,.0075468,.1363606,1.63e+07,544,1287406,6.42e+10,.0002542,.0000992,.0023065,.0805173,4546927,120,1209075,9.13e+10,.0000498,-320,280495,-.0000104,-.0011408,-.000306
"Air Force",,,,,,,,,,,,,,,,,.0001214,.0003303,-.0382757,2813975,135,1112210,3.56e+10,.000079,.0002035,.0009568,.0354775,7950934,262,1287406,6.42e+10,.0001239,.0000951,.0005551,.3921436,5753633,115,1209075,9.13e+10,.000063,,,,,
"Utilities, n.s. ",0,0,.064548,0,0,730600,6.64e+09,0,.0002369,.0069052,.1968485,3783769,220,928580,1.50e+10,.000252,.0003587,.0039228,.3436797,1.33e+07,399,1112210,3.56e+10,.0003744,.000282,.0080579,.2406768,1.70e+07,363,1287406,6.42e+10,.0002641,.0000943,.0048393,.2736133,7434009,114,1209075,9.13e+10,.0000814,-106,280495,.0000479,-.0003779,-.0001706
"Logging",.0009581,.0059072,-.2494607,4088945,700,730600,6.64e+09,.0006159,.0013569,.0091703,-.168069,1.61e+07,1260,928580,1.50e+10,.0010756,.0009971,.0079938,-.132373,2.44e+07,1109,1112210,3.56e+10,.0006835,.0003192,.0035431,-.1055725,1.26e+07,411,1287406,6.42e+10,.0001967,.000086,.001193,-.0661172,4240059,104,1209075,9.13e+10,.0000465,-1156,280495,-.0001562,-.0041213,-.0010292
"Metal industries, n.s.",.0016425,.0176991,.135838,1.03e+07,1200,730600,6.64e+09,.0015481,.0006677,.0194601,.0503042,9277891,620,928580,1.50e+10,.0006179,.0005494,.0146431,.1503752,1.73e+07,611,1112210,3.56e+10,.0004843,.0002074,.0096303,.0329585,9022124,267,1287406,6.42e+10,.0001406,.0000744,.0086372,-.0146287,3195742,90,1209075,9.13e+10,.000035,-530,280495,-.0000798,-.0018895,-.0005829
"Footwear, except rubber and plastic",.0015056,.0056701,.0645532,5262707,1100,730600,6.64e+09,.0007926,.0007754,.0044983,-.0433331,6220495,720,928580,1.50e+10,.0004143,.0004046,.0055615,-.0142209,7560111,450,1112210,3.56e+10,.0002122,.0002245,.0077262,.0237838,8834344,289,1287406,6.42e+10,.0001376,.0000579,.002921,.1437054,3527618,70,1209075,9.13e+10,.0000386,-650,280495,-.0000353,-.0023173,-.0003757
"Leather products, except footwear",.0008212,.0112782,.030527,3338064,600,730600,6.64e+09,.0005028,.0004523,.0072066,-.0657846,4088334,420,928580,1.50e+10,.0002723,.0001789,.0054226,.0044965,3545936,199,1112210,3.56e+10,.0000995,.0002524,.008084,-.0189068,9325697,325,1287406,6.42e+10,.0001453,.0000538,.0030501,-.0500904,2163109,65,1209075,9.13e+10,.0000237,-355,280495,-.0000252,-.0012656,-.0002486
"Lodging places, except hotels and motels",.0002737,.0024301,-.5984584,745322,200,730600,6.64e+09,.0001123,.0005385,.0028858,-.9544365,2614102,500,928580,1.50e+10,.0001741,.0004037,.00579,-.3521347,7489860,449,1112210,3.56e+10,.0002102,.0000684,.0016607,-.3871673,2088049,88,1287406,6.42e+10,.0000325,.0000538,.0007361,-.5172884,1740029,65,1209075,9.13e+10,.0000191,-435,280495,-.0000115,-.0015508,-.000155
"Navy",,,,,,,,,,,,,,,,,.0003138,.0007388,.0025627,6443395,349,1112210,3.56e+10,.0001809,.0002625,.0012576,.0876264,9815135,338,1287406,6.42e+10,.0001529,.000038,.0001913,.4507352,2040156,46,1209075,9.13e+10,.0000224,,,,,
"Ordnance",.00219,.005997,.2757594,1.57e+07,1600,730600,6.64e+09,.002359,.0002154,.0024355,.1750388,3179043,200,928580,1.50e+10,.0002117,.000455,.0065255,.2260739,1.55e+07,506,1112210,3.56e+10,.0004355,.0000722,.0031207,.1517908,3764296,93,1287406,6.42e+10,.0000586,.0000306,.0009381,.1658268,1740378,37,1209075,9.13e+10,.0000191,-163,280495,-.0000189,-.0005811,-.0001927
"Military Reserves or National Guard ",,,,,,,,,,,,,,,,,.0000495,.0012956,-.0896332,1193533,55,1112210,3.56e+10,.0000335,.0000272,.0008979,.0489032,1249722,35,1287406,6.42e+10,.0000195,.0000248,.0029656,.214911,1182757,30,1209075,9.13e+10,.000013,,,,,
"Wood buildings and mobile homes",,,,,,,,,.0004738,.0081815,.0278031,5879903,440,928580,1.50e+10,.0003916,.0003354,.0084852,.0663377,7748672,373,1112210,3.56e+10,.0002175,.0005686,.0089299,.1090401,2.40e+07,732,1287406,6.42e+10,.0003738,0,0,.0271551,0,0,1209075,9.13e+10,0,-440,280495,-.0000771,-.0015687,-.0003916
"Dyeing and finishing textiles, except wool and knit goods",.0004106,.0063966,.0137645,1893102,300,730600,6.64e+09,.0002851,.0002369,.0037633,.0133345,2470286,220,928580,1.50e+10,.0001645,.0001205,.0041451,.0543979,2674461,134,1112210,3.56e+10,.0000751,.0005406,.0096616,.0866588,2.30e+07,696,1287406,6.42e+10,.0003582,0,0,.028748,0,0,1209075,9.13e+10,0,-220,280495,-.0000324,-.0007843,-.0001645
"Barber shops",.0008212,.0039396,-.1878599,3793729,600,730600,6.64e+09,.0005714,.0004092,.0043618,-.3039778,4370960,380,928580,1.50e+10,.0002911,.0000656,.0011008,-.3421494,1312853,73,1112210,3.56e+10,.0000369,.0000163,.0002745,-.3827348,484336.2,21,1287406,6.42e+10,7.55e-06,0,0,-.4809882,0,0,1209075,9.13e+10,0,-380,280495,-.0000573,-.0013547,-.0002911
"Knitting mills",.0009581,.003792,.1144947,3244989,700,730600,6.64e+09,.0004887,.0006246,.0033902,.0048461,5272965,580,928580,1.50e+10,.0003512,.0004388,.0035719,.073068,8195657,488,1112210,3.56e+10,.0002301,.000334,.0058241,-.028544,1.06e+07,430,1287406,6.42e+10,.0001658,0,0,-.1461375,0,0,1209075,9.13e+10,0,-580,280495,-.0000691,-.0020678,-.0003512
"Fishing, hunting, and trapping ",.0002737,.0057471,-.2488713,1269598,200,730600,6.64e+09,.0001912,.0014646,.0216423,-.1467594,1.91e+07,1360,928580,1.50e+10,.0012701,.0008299,.0125103,-.147069,2.20e+07,923,1112210,3.56e+10,.0006165,.0001794,.0042798,-.1986348,7686682,231,1287406,6.42e+10,.0001198,0,0,-.1771129,0,0,1209075,9.13e+10,0,-1360,280495,-.0002501,-.0048486,-.0012701
"Forestry",.0001369,.0019531,-.1448471,699658.2,100,730600,6.64e+09,.0001054,.0003662,.0041626,-.1018265,4607854,340,928580,1.50e+10,.0003069,.0003623,.0045726,-.1052287,1.00e+07,403,1112210,3.56e+10,.0002813,.0000544,.0019209,-.0359924,2685302,70,1287406,6.42e+10,.0000418,0,0,-.0160601,0,0,1209075,9.13e+10,0,-340,280495,-.0000604,-.0012121,-.0003069
"Armed Forces, branch not specified",,,,,,,,,,,,,,,,,.0000414,.0009044,-.0467253,830330.3,46,1112210,3.56e+10,.0000233,.0001212,.0021148,.0950095,4593692,156,1287406,6.42e+10,.0000716,0,0,.2946214,0,0,1209075,9.13e+10,0,,,,,
"Household appliance stores",,,,,,,,,,,,,,,,,.0004541,.0050272,-.0708352,1.08e+07,505,1112210,3.56e+10,.000304,.0002408,.0038283,-.0655671,9520049,310,1287406,6.42e+10,.0001483,0,0,-.0693582,0,0,1209075,9.13e+10,0,,,,,
"Food industries, n.s.",.0012319,.0154905,.1983525,8301842,900,730600,6.64e+09,.0012504,.0007754,.0150817,.0912249,1.07e+07,720,928580,1.50e+10,.0007103,.001301,.0150921,.1423121,4.05e+07,1447,1112210,3.56e+10,.0011372,.0009476,.0157249,.1453635,5.02e+07,1220,1287406,6.42e+10,.0007815,0,0,-.0627392,0,0,1209075,9.13e+10,0,-720,280495,-.0001399,-.0025669,-.0007103
"Coast Guard",,,,,,,,,,,,,,,,,6.29e-06,.0002138,-.0197238,142967.3,7,1112210,3.56e+10,4.01e-06,0,0,.0887172,0,0,1287406,6.42e+10,0,0,0,.2290462,0,0,1209075,9.13e+10,0,,,,,
"Bowling centers",.0008212,.0095087,-.2832894,3222647,600,730600,6.64e+09,.0004854,.0003231,.00443,-.4065264,2504661,300,928580,1.50e+10,.0001668,.0001196,.0024735,-.4252368,1811637,133,1112210,3.56e+10,.0000509,.0001802,.0047535,-.3273591,4653013,232,1287406,6.42e+10,.0000725,0,0,-.2864067,0,0,1209075,9.13e+10,0,-300,280495,-.0000328,-.0010695,-.0001668
"Pottery and related products",.0001369,.0025707,.1078484,649125.9,100,730600,6.64e+09,.0000978,.0001938,.0043436,-.0151186,2128662,180,928580,1.50e+10,.0001418,.0000998,.0026468,.008542,2368220,111,1112210,3.56e+10,.0000665,.0001864,.0054273,-.126904,7123909,240,1287406,6.42e+10,.000111,0,0,-.1496464,0,0,1209075,9.13e+10,0,-180,280495,-.0000279,-.0006417,-.0001418
"Automobile parking and carwashes",.0017794,.0118505,-.1150595,8250201,1300,730600,6.64e+09,.0012426,.0016369,.0079249,-.0897596,1.78e+07,1520,928580,1.50e+10,.0011878,.0005467,.0048757,-.3313779,9036192,608,1112210,3.56e+10,.0002537,.0003363,.0035752,-.3114531,8858438,433,1287406,6.42e+10,.000138,0,0,-.3449346,0,0,1209075,9.13e+10,0,-1520,280495,-.0002339,-.005419,-.0011878
"Marines",,,,,,,,,,,,,,,,,.0000638,.000411,.0160086,1181451,71,1112210,3.56e+10,.0000332,.0000878,.000846,.0875289,2563364,113,1287406,6.42e+10,.0000399,0,0,.4805557,0,0,1209075,9.13e+10,0,,,,,
"Mobile home dealers",,,,,,,,,.0004954,.0156144,-.0132841,6964331,460,928580,1.50e+10,.0004639,.0002401,.0107848,-.0586042,6329250,267,1112210,3.56e+10,.0001777,,,,,,,,,,,,,,,,,,,,,
"Shoe repair shops",0,0,-.3418034,0,0,730600,6.64e+09,0,.0001077,.0067843,-.3760568,1020733,100,928580,1.50e+10,.000068,.0000512,.0035025,-.3946647,957967.9,57,1112210,3.56e+10,.0000269,6.21e-06,.0008863,-.3635395,203097.4,8,1287406,6.42e+10,3.16e-06,,,,,,,,,,,,,
"Dressmaking shops",.0001369,.0044248,-.6733863,284181.4,100,730600,6.64e+09,.0000428,.0000215,.0009488,-.7270575,112206.3,20,928580,1.50e+10,7.47e-06,.000036,.0013199,-.8029324,387547.7,40,1112210,3.56e+10,.0000109,,,,,,,,,,,,,,,,,,,,,
"Offices and clinics of health practitioners, n.e.c.",.0039693,.0751295,.0189873,3.46e+07,2900,730600,6.64e+09,.0052045,.0017231,.0323232,-.1401713,2.30e+07,1600,928580,1.50e+10,.0015345,.0029176,.0359258,-.0450063,1.12e+08,3245,1112210,3.56e+10,.0031502,,,,,,,,,,,,,,,,,,,,,
"Watches, clocks, and clockwork operated devices",.0001369,.0036101,.1807122,611263.6,100,730600,6.64e+09,.0000921,.0001292,.0045489,.0772151,1496875,120,928580,1.50e+10,.0000997,.0000782,.0071306,.1221092,1944474,87,1112210,3.56e+10,.0000546,,,,,,,,,,,,,,,,,,,,,
