ind1990,sh_top11970,top11970,earn_res1970,agg_inc1970,num_top11970,us_num_top11970,us_agg_inc1970,sh_agg1970,sh_top11980,top11980,earn_res1980,agg_inc1980,num_top11980,us_num_top11980,us_agg_inc1980,sh_agg1980,sh_top11990,top11990,earn_res1990,agg_inc1990,num_top11990,us_num_top11990,us_agg_inc1990,sh_agg1990,sh_top12000,top12000,earn_res2000,agg_inc2000,num_top12000,us_num_top12000,us_agg_inc2000,sh_agg2000,sh_top12015,top12015,earn_res2015,agg_inc2015,num_top12015,us_num_top12015,us_agg_inc2015,sh_agg2015,change,us_change,sh_agg_incx,sh_change,sh_agg_change
"Beverage industries",.0016425,.0060393,.1158978,9565697,1200,730600,6.64e+09,.0014407,.0016154,.0074456,.1941176,2.49e+07,1500,928580,1.50e+10,.0016573,.0013765,.0088261,.2491722,4.79e+07,1531,1112210,3.56e+10,.0013441,.0015465,.0112047,.2061749,8.79e+07,1991,1287406,6.42e+10,.0013698,.0016872,.0088085,.1149522,1.14e+08,2040,1209075,9.13e+10,.0012457,540,280495,.0011647,.0019252,-.0004116
"Lumber and building material retailing",.0052012,.0124142,-.0038566,2.84e+07,3800,730600,6.64e+09,.0042802,.0047815,.0120456,-.0005683,6.13e+07,4440,928580,1.50e+10,.0040854,.002959,.00724,-.0040007,7.16e+07,3291,1112210,3.56e+10,.0020103,.0029524,.0050584,.0185799,1.19e+08,3801,1287406,6.42e+10,.0018561,.0016558,.002207,-.0962688,7.46e+07,2002,1209075,9.13e+10,.0008173,-2438,280495,.0001738,-.0086918,-.0032681
"Retail trade, n.s. ",.0019162,.0086687,-.1238921,8255233,1400,730600,6.64e+09,.0012434,.0024123,.0098731,-.1996971,2.50e+07,2240,928580,1.50e+10,.0016623,.0043283,.0076416,-.1800442,9.25e+07,4814,1112210,3.56e+10,.0025967,.0030348,.0088983,-.166935,1.20e+08,3907,1287406,6.42e+10,.0018659,.0015971,.0044257,-.182489,7.23e+07,1931,1209075,9.13e+10,.0007923,-308.9999,280495,.000621,-.0011016,-.00087
"Gasoline service stations",.0038325,.0046342,-.1708595,1.63e+07,2800,730600,6.64e+09,.0024509,.0047169,.0080892,-.182916,4.87e+07,4380,928580,1.50e+10,.0032414,.0019583,.0046333,-.1944845,3.69e+07,2178,1112210,3.56e+10,.0010356,.0011574,.0040146,-.2060563,3.25e+07,1490,1287406,6.42e+10,.0005057,.0015541,.0034319,-.2416891,5.24e+07,1879,1209075,9.13e+10,.0005743,-2501,280495,.0000492,-.0089164,-.0026671
"General government, n.e.c.",,,,,,,,,.0026277,.0020284,.0333388,3.40e+07,2440,928580,1.50e+10,.0022662,.0014961,.0012703,.1024911,4.40e+07,1664,1112210,3.56e+10,.0012342,.0024157,.0027142,.079851,1.20e+08,3110,1287406,6.42e+10,.001867,.0015516,.0016354,.123489,1.06e+08,1876,1209075,9.13e+10,.001164,-564,280495,.000947,-.0020107,-.0011022
"Landscape and horticultural services",.0012319,.0077855,-.2749887,5244991,900,730600,6.64e+09,.00079,.0015938,.0072442,-.3386268,1.52e+07,1480,928580,1.50e+10,.0010129,.002326,.0043161,-.3136568,4.30e+07,2587,1112210,3.56e+10,.0012077,.0017011,.0028767,-.2808052,5.02e+07,2190,1287406,6.42e+10,.0007825,.001502,.0015573,-.3813114,5.17e+07,1816,1209075,9.13e+10,.0005668,336,280495,.0004789,.0011979,-.0004461
"Detective and protective services",.0005475,.0050826,-.2092082,2642745,400,730600,6.64e+09,.000398,.0011415,.0048834,-.2761116,1.17e+07,1060,928580,1.50e+10,.0007805,.0012354,.0038702,-.2239453,2.66e+07,1374,1112210,3.56e+10,.0007463,.0016296,.0045016,-.1736898,5.98e+07,2098,1287406,6.42e+10,.0009317,.0014739,.0022324,-.1202593,6.95e+07,1782,1209075,9.13e+10,.0007613,721.9999,280495,.0007576,.002574,-.0000191
"Apparel and accessories, except knit",.0114974,.0080092,.0793051,3.90e+07,8400,730600,6.64e+09,.0058671,.0073445,.0061651,-.0349642,5.67e+07,6820,928580,1.50e+10,.0037791,.0047347,.0060614,-.0692002,7.99e+07,5266,1112210,3.56e+10,.0022416,.0022394,.0068456,-.1106778,6.96e+07,2883,1287406,6.42e+10,.0010839,.0014614,.0084469,-.0747103,6.99e+07,1767,1209075,9.13e+10,.0007655,-5053,280495,.0001721,-.0180146,-.0030136
"Educational services, n.e.c.",.0017794,.0080197,-.3918532,7560130,1300,730600,6.64e+09,.0011387,.0003446,.0026837,-.6426706,2749901,320,928580,1.50e+10,.0001832,.0011302,.0062702,-.4959967,2.45e+07,1257,1112210,3.56e+10,.0006889,.0008397,.0035914,-.5564178,2.80e+07,1081,1287406,6.42e+10,.0004359,.0014523,.0027262,-.5376515,6.53e+07,1756,1209075,9.13e+10,.0007151,1436,280495,.0008199,.0051195,.000532
"Furniture and fixtures",.0046537,.0084117,.0166593,2.13e+07,3400,730600,6.64e+09,.0032033,.0035969,.00658,-.0124699,3.86e+07,3340,928580,1.50e+10,.0025712,.0027477,.0054734,.0339897,6.20e+07,3056,1112210,3.56e+10,.0017403,.0025695,.0050341,.0162361,9.83e+07,3308,1287406,6.42e+10,.0015308,.0014093,.0042249,-.0106292,6.80e+07,1704,1209075,9.13e+10,.0007451,-1636,280495,.0003855,-.0058325,-.0018261
